id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
433100,湘西土家族苗族自治州,433100,0.019555555555555562,0.0,0.02444444444444445,0.11,0.0,0.11,0.0,0.0,0.0
440100,广州市,440100,0.2613333333333334,0.4511111111111111,0.21388888888888888,0.68,0.68,0.66,0.04,0.36,0.04
440200,韶关市,440200,0.00977777777777778,0.0,0.012222222222222225,0.06,0.0,0.06,0.0,0.0,0.0
440300,深圳市,440300,0.35133333333333333,0.5033333333333334,0.31333333333333324,1.39,0.9,1.39,0.1,0.35,0.1
440400,珠海市,440400,0.049777777777777796,0.10888888888888888,0.03500000000000002,0.18,0.18,0.13,0.0,0.0,0.0
440500,汕头市,440500,0.008,0.0,0.010000000000000002,0.08,0.0,0.08,0.0,0.0,0.0
440600,佛山市,440600,0.05000000000000001,0.061111111111111116,0.047222222222222235,0.24,0.19,0.24,0.0,0.0,0.0
440700,江门市,440700,0.002666666666666667,0.0,0.0033333333333333335,0.1,0.0,0.1,0.0,0.0,0.0
440800,湛江市,440800,0.01755555555555556,0.035555555555555556,0.013055555555555558,0.08,0.08,0.07,0.0,0.0,0.0
440900,茂名市,440900,0.02200000000000001,0.0,0.02750000000000001,0.08,0.0,0.08,0.0,0.0,0.0
441200,肇庆市,441200,0.0006666666666666666,0.0,0.0008333333333333333,0.02,0.0,0.02,0.0,0.0,0.0
441300,惠州市,441300,0.052000000000000005,0.08555555555555555,0.04361111111111113,0.24,0.24,0.16,0.0,0.0,0.0
441400,梅州市,441400,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
441500,汕尾市,441500,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
441600,河源市,441600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441700,阳江市,441700,0.0013333333333333333,0.0,0.0016666666666666666,0.03,0.0,0.03,0.0,0.0,0.0
441800,清远市,441800,0.009333333333333334,0.0,0.011666666666666667,0.06,0.0,0.06,0.0,0.0,0.0
441900,东莞市,441900,0.13911111111111107,0.14111111111111108,0.13861111111111113,0.52,0.33,0.52,0.02,0.08,0.02
442000,中山市,442000,0.022000000000000006,0.027777777777777776,0.020555555555555563,0.13,0.13,0.13,0.0,0.0,0.0
445100,潮州市,445100,0.0017777777777777774,0.0,0.002222222222222222,0.06,0.0,0.06,0.0,0.0,0.0
445200,揭阳市,445200,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
445300,云浮市,445300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450100,南宁市,450100,0.04444444444444445,0.1322222222222222,0.022500000000000003,0.2,0.2,0.08,0.0,0.09,0.0
450200,柳州市,450200,0.007333333333333332,0.0,0.009166666666666665,0.07,0.0,0.07,0.0,0.0,0.0
450300,桂林市,450300,0.046222222222222234,0.11666666666666667,0.02861111111111111,0.14,0.14,0.12,0.0,0.09,0.0
450400,梧州市,450400,0.0031111111111111114,0.0,0.003888888888888889,0.04,0.0,0.04,0.0,0.0,0.0
450500,北海市,450500,0.021111111111111112,0.08888888888888889,0.004166666666666667,0.15,0.15,0.09,0.0,0.0,0.0
450600,防城港市,450600,0.002,0.0,0.0025,0.06,0.0,0.06,0.0,0.0,0.0
450700,钦州市,450700,0.0006666666666666666,0.0,0.0008333333333333333,0.02,0.0,0.02,0.0,0.0,0.0
450800,贵港市,450800,0.0013333333333333333,0.0,0.0016666666666666666,0.02,0.0,0.02,0.0,0.0,0.0
